Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
dawson-trolley,Dawson Trolley,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>It's a duffle. It's a wheeling suitcase. It's both. This versatile, carryon-sized travel companion has a contrast leather trim and rugged brass hardware, a removable long strap and stash pockets on the inside and outside of the bag. When not wheeling it around, easily store the collapsible handle behind a hidden zipper pocket.</p>
<ul>
<li><span style=""line-height: 1.4;"">100% organic canvas </span></li>
<li><span style=""line-height: 1.4;"">Cotton lining</span></li>
<li><span style=""line-height: 1.4;"">Leather trim</span></li>
<li><span style=""line-height: 1.4;"">Brass hardware</span></li>
<li><span style=""line-height: 1.4;"">Removable adjustable strap with leather shoulder pad</span></li>
<li>Lifetime Guarantee</li>
</ul>
<ul class=""tabs-content""></ul>",United By Blue,Bags,"",true,Color,Moss,,,,,'4260,2948,shopify,0,deny,manual,278.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/DawsonTrolley_Moss_Front_6cca3dc3-51d3-4205-a1e1-ed5d9a03e181.jpeg?v=1426786397,,false,,"100% waxed organic cotton canvas, moss green, khaki, nutmeg, navy blue, trolley duffle travel bag.",,,,,,,,,,,,,,,kg
dawson-trolley,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/DawsonTrolley_Moss_HandleOpen_14842a9b-7222-4ce2-9d17-4731d23454a7.jpeg?v=1426786397,,,,,,,,,,,,,,,,,,,
dawson-trolley,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/product_lifestyle-9.jpeg?v=1426786397,,,,,,,,,,,,,,,,,,,
canvas-lunch-bag,Canvas Lunch Bag,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>Reusable, durable, and roomy. Our lunchbag has a snap-closure top that rolls down to perfect for trail snacks and lunches. Small enough to throw in any of our bags.</p>
<ul>
<li><span style=""line-height: 1.4;"">100% Organic Cotton</span></li>
<li><span style=""line-height: 1.4;"">Leather Trim</span></li>
<li>Lifetime Guarantee</li>
</ul>
<ul class=""tabs-content""></ul>",United By Blue,Bags,"",true,Color,Khaki,,,,,'4219,454,shopify,2,deny,manual,32.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Khaki_Front_8ae0e1f4-407d-4ac0-89e6-961b306ef351.jpeg?v=1426786436,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Khaki_Front_8ae0e1f4-407d-4ac0-89e6-961b306ef351.jpeg?v=1426786436,kg
canvas-lunch-bag,,,,,,,,Moss,,,,,'4216,454,shopify,0,deny,manual,32.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Moss_Front_c5dfe951-8bdc-4fff-8c8a-9a87cc02736d.jpeg?v=1426786436,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Moss_Front_c5dfe951-8bdc-4fff-8c8a-9a87cc02736d.jpeg?v=1426786436,kg
canvas-lunch-bag,,,,,,,,Nutmeg,,,,,'4218,454,shopify,1,deny,manual,32.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Nutmeg_Front_37c94fbb-6fd7-43ed-abcf-291220a69686.jpeg?v=1426786436,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Nutmeg_Front_37c94fbb-6fd7-43ed-abcf-291220a69686.jpeg?v=1426786436,kg
canvas-lunch-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/Lunchbag_Chocolate_Logo.jpeg?v=1426786436,,,,,,,,,,,,,,,,,,,
canvas-lunch-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/product_lifestyle-16.jpeg?v=1426786436,,,,,,,,,,,,,,,,,,,
foraker-canvas-coat,Duckworth Woolfill Jacket,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p><span style=""line-height: 1.5;"">Inspired by the timeless, functional style of your grandfather's work coat, the Foraker features brass buttons and 4 patch pockets. Crafted in Bristol, Tennessee, our 10oz organic duck canvas is light enough for an early summer morning, but rugged enough to handle your days work.</span></p>
<ul class=""tabs-content"">
<li><span style=""line-height: 1.4;"">100% Organic Duck Canvas.</span></li>
</ul>",United By Blue,Mens,Jackets,true,Color,Harvest,Size,S,,,FORAKER-CA2,0,shopify,7,deny,manual,188.00,218.00,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/woolfill-jacket_6c39ae23-c0c8-4821-85f4-4b5d64333c62.jpg?v=1426709876,,false,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Harvest,,M,,,FORAKER-CA3,0,shopify,13,deny,manual,188.00,218.00,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/product_lifestyle-27.jpeg?v=1426709876,,,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Harvest,,L,,,FORAKER-CA4,0,shopify,11,deny,manual,188.00,218.00,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/product_lifestyle-2_47ab1045-a452-44fd-878d-0861f1d1e076.jpeg?v=1426709876,,,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Harvest,,XL,,,FORAKER-CA5,0,shopify,6,deny,manual,188.00,218.00,true,true,,,,,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Navy,,S,,,FORAKER-NB2,0,shopify,7,deny,manual,188.00,218.00,true,false,,,,,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Navy,,M,,,FORAKER-NB3,0,shopify,15,deny,manual,188.00,218.00,true,false,,,,,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Navy,,L,,,FORAKER-NB4,0,shopify,7,deny,manual,188.00,218.00,true,false,,,,,,,,,,,,,,,,,,,,,kg
foraker-canvas-coat,,,,,,,,Navy,,XL,,,FORAKER-NB5,0,shopify,0,deny,manual,188.00,218.00,true,false,,,,,,,,,,,,,,,,,,,,,kg
scout-backpack,Scout Backpack,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>This durable backpack is ready for any adventure, large or small. Features adjustable and padded shoulder pads for comfort. Designed with a storm flap and a secured by two snap-button closure. Made with a waxed downpour proof exterior canvas and a soft cotton interior lining. Finished with brass hardware and genuine leather trimmings.</p>
<ul>
<li><span style=""line-height: 1.4;"">100% organic waxed 18 oz canvas</span></li>
<li><span style=""line-height: 1.4;"">Full grain genuine leather accents </span></li>
<li><span style=""line-height: 1.4;"">Adjustable shoulder straps</span></li>
<li>Lifetime Guarantee</li>
</ul>
<ul class=""tabs-content""></ul>",United By Blue,Bags,Bags,true,Color,Khaki,,,,,'4241,,shopify,0,deny,manual,128.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/scout-backpack_a035275d-8975-4a05-8456-5e1ec35f020f.jpg?v=1426709869,,false,,,,,,,,,,,,,,,,,kg
scout-backpack,,,,,,,,Navy Blue,,,,,'4239,0,shopify,4,deny,manual,128.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/Scout_Moss_Snap.jpeg?v=1426709869,,,,,,,,,,,,,,,,,,,kg
scout-backpack,,,,,,,,Moss,,,,,'4238,,shopify,3,deny,manual,128.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/product_lifestyle-59.jpeg?v=1426709869,,,,,,,,,,,,,,,,,,,kg
scout-backpack,,,,,,,,Nutmeg,,,,,'4240,,shopify,7,deny,manual,128.00,,true,true,,,,,,,,,,,,,,,,,,,,,kg
cydney-plaid,Cydney Plaid,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<ul class=""tabs-content"">
<li><span style=""line-height: 1.4;"">Super soft, super responsible - our wovens were made to last.</span></li>
<li><span style=""line-height: 1.4;"">Short sleeve</span></li>
<li><span style=""line-height: 1.4;"">Made of 100% Organic Cotton Plaid, 4 oz</span></li>
<li><span style=""line-height: 1.4;"">Made in USA</span></li>
</ul>
<ul class=""tabs-content""></ul>",United By Blue,Womens,Shirts,true,Size,XS,,,,,43WPLBR1,454,shopify,1,deny,manual,98.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_Longsleeve_e72db08c-cd32-41eb-8251-d826cf0fc299.jpeg?v=1426786085,,false,,"100% Organic Cotton Plaid woven button down womens shirt, 4 oz Natural Corozo Buttons Made in the USA",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/DaveChristine65_SiteSquare.jpeg?v=1426786085,kg
cydney-plaid,,,,,,,,S,,,,,43WPLBR2,454,shopify,0,deny,manual,98.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_RolledSleeve_5064f24c-81f0-4fd9-a1e7-9ca006de1303.jpeg?v=1426786085,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_RolledSleeve_5064f24c-81f0-4fd9-a1e7-9ca006de1303.jpeg?v=1426786085,kg
cydney-plaid,,,,,,,,M,,,,,43WPLBR3,454,shopify,0,deny,manual,98.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_Closeup_3c613723-ff61-4376-891e-4c4abe12fbc0.jpeg?v=1426786085,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_Longsleeve_e72db08c-cd32-41eb-8251-d826cf0fc299.jpeg?v=1426786085,kg
cydney-plaid,,,,,,,,L,,,,,43WPLBR4,454,shopify,0,deny,manual,98.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/DaveChristine65_SiteSquare.jpeg?v=1426786085,Cydney Plaid | United By Blue,,,,,,,,,,,,,,,,,,kg
cydney-plaid,,,,,,,,XL,,,,,43WPLBR5,454,shopify,1,deny,manual,98.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/CydneyPlaid_Closeup_3c613723-ff61-4376-891e-4c4abe12fbc0.jpeg?v=1426786085,kg
redwing-iron-ranger,Red Wing Iron Ranger Boot,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p><span style=""line-height: 1.4;"">The Mesabi Iron Range lies in northern Minnesota, a rugged and remote area known for its iron mines. The local residents who work these mines are proudly known as Iron Rangers, individuals with a sense of adventure and a determined personality. Originally designed to be worn in the iron mines, Iron Ranger work boots had to be as tough as the people who wore them in demanding conditions. Iron Ranger boots are built with a double layer of leaver over the toe to provide an extra measure of safety.</span></p>
<ul class=""tabs-content"">
<li><span style=""line-height: 1.5;"">6 inch, Amber Harness leather with Nitrile Cork sole.</span></li>
</ul>
<ul class=""tabs-content""></ul>",Red Wing,Mens,Footwear,true,Size,7,,,,,RW8111-7,0,shopify,1,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/boot.jpg?v=1426709753,,false,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,7.5,,,,,RW8111-7.5,0,shopify,1,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/boot-3.jpg?v=1426709753,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,8,,,,,RW8111-8,0,shopify,1,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/boot-2.jpg?v=1426709753,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,8.5,,,,,RW8111-8.5,0,shopify,0,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,9,,,,,RW8111-9,,shopify,1,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,9.5,,,,,RW8111-9-5,,shopify,0,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,10,,,,,RW8111-10,,shopify,0,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,10.5,,,,,RW8111-10-5,,shopify,0,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,11,,,,,RW8111-11,,shopify,1,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,11.5,,,,,RW8111-11-5,,shopify,0,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
redwing-iron-ranger,,,,,,,,12,,,,,RW8111-12,,shopify,0,deny,manual,310.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,Long Sleeve Swing Shirt,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<ul class=""tabs-content"">
<li><span style=""line-height: 1.4;"">We updated our standard with a relaxed fit that stands up to constant wear.</span></li>
<li><span style=""line-height: 1.4;"">100% Organic Cotton</span></li>
<li><span style=""line-height: 1.4;"">Imported</span></li>
<li>Relaxed Fit.</li>
</ul>
<p><span style=""line-height: 1.5;"">Julie is 5'8"" and is wearing a size small.</span></p>
<ul class=""tabs-content""></ul>
<ul class=""tabs-content""></ul>",United By Blue,Womens,Shirts,true,Color,Deep Water,Size,XS,,,43WSSDW1,,shopify,8,deny,manual,46.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/swing_deepwater_26dfd395-1a9b-4ff0-9f47-10331738fded.jpeg?v=1426786268,,false,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Deep Water,,S,,,43WSSDW2,0,shopify,8,deny,manual,46.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/Julie2_SiteSquare_24dea6ec-2332-48a5-9c81-e61b680e1d9b.jpeg?v=1426786268,Long Sleeve Swing Shirt | United By Blue,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Deep Water,,M,,,43WSSDW3,,shopify,11,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Deep Water,,L,,,43WSSDW4,0,shopify,0,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Deep Water,,XL,,,43WSSDW5,,shopify,6,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Burgundy,,XS,,,43WSSBU1,,shopify,8,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Burgundy,,S,,,43WSSBU2,,shopify,9,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Burgundy,,M,,,43WSSBU3,0,shopify,4,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Burgundy,,L,,,43WSSBU4,,shopify,6,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
long-sleeve-swing,,,,,,,,Burgundy,,XL,,,43WSSBU5,,shopify,7,deny,manual,46.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
snow-peak-mola-headlamp,Mola Headlamp,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p><span>The Mola Headlamp is a powerful, innovative new LED lamp that follows the angle of your eyes as you look up and down, eliminating the need for clunky hinges.</span></p>",Snow Peak,Outdoor,"",true,Title,Olive,,,,,ES-060OL,0,shopify,1,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/snowpeak_headlamp_458e50f4-a354-423e-ad48-a83c47878792.jpeg?v=1426786675,,false,,,,,,,,,,,,,,,,,kg
snow-peak-titanium-single-wall-cup,Double Wall Mug,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p><p>Snow Peak’s classic insulated stainless steel mug is perfect for the home or campsite.</p>",Snow Peak,Outdoor,"",true,Title,Default Title,,,,,MG-043R,0,shopify,4,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/mug.jpeg?v=1426786665,,false,,,,,,,,,,,,,,,,,lb
the-field-report-vol-2,The Field Report Vol. 2,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>Produced quarterly by United By Blue, The Field Report is a two-page printed newsprint of exciting upcoming product arrivals, updates on our ocean and waterway cleanups, behind the scenes, and accompanying beautiful imagery.</p>",United By Blue,Home,"",true,Title,Field Report 2,,,,,FIELDREPORT2,0,shopify,59,deny,manual,0.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/fieldreport_vol2_front_437c4459-042c-4b07-8018-f092a5eb83ac.jpeg?v=1426786355,,false,,,,,,,,,,,,,,,,,kg
the-field-report-vol-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/fieldreport_vol2_back_c08e5a7a-d499-489a-8862-74a7d16c8a1c.jpeg?v=1426786355,,,,,,,,,,,,,,,,,,,
camp-stool,Camp Stool,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p class=""p1"">The Camp Stool is a classic take-anywhere seat that folds flat for easy transport and storage. The stool is crafted in Western North Carolina of kiln dried American Ash hardwood that has been finished with a protective Danish oil. The base of the seat is made from our classic navy blue organic cotton canvas, the same we use in products such as our Foraker Coat,  that is used to make the back of the chair, and detailed with a United By Blue woven patch. This stool is part of a collaboration United By Blue has with heritage outdoor furniture maker Blue Ridge Chair Works.</p>
<ul>
<li><span style=""line-height: 1.4;"">Chair Weight: 4 lbs</span></li>
<li><span style=""line-height: 1.4;"">Open Size: 16”w x 11”d x 18”h</span></li>
<li><span style=""line-height: 1.4;"">Weight Capacity: 300 lbs</span></li>
<li><span style=""line-height: 1.4;"">Made in the USA</span></li>
</ul>",United By Blue,Outdoor,"",true,Title,Camp Stool,,,,,STOOLNB,0,shopify,9,deny,manual,78.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/campstool-1.jpeg?v=1426786646,,false,,,,,,,,,,,,,,,,,kg
camp-stool,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0803/6591/products/campstool-2.jpeg?v=1426786646,,,,,,,,,,,,,,,,,,,
hudderton-backpack,Hudderton Backpack,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>Durable, rugged, and dependable designed with four zipper compartments. Two bellowed front pockets allow for easy access to smaller items, one large, spacious compartment with a padded laptop sleeve, and a tiny convenient pouch on top to keep keys and other small items secure. The Hudderton is built with organic downpour proof canvas, a durable full grain leather bottom to prevent wear and tear, and padded canvas shoulder straps for all-day comfort. From the commute to the trail the Hudderton is perfect for bag for the entire week.</p>
<ul>
<li><span style=""line-height: 1.4;"">100% organic waxed 18 oz canvas</span></li>
<li><span style=""line-height: 1.4;"">Full grain genuine leather detail</span></li>
<li><span style=""line-height: 1.4;"">Soft interior cotton lining</span></li>
<li><span style=""line-height: 1.4;"">Brass hardware and YKK zippers</span></li>
<li><span style=""line-height: 1.4;"">Cotton Padded interior laptop sleeve</span></li>
<li>Lifetime Guarantee</li>
</ul>
<ul class=""tabs-content""></ul>",United By Blue,Bags,Bags,true,Color,Khaki,,,,,'4141,1361,shopify,8,deny,manual,98.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/hudderton-backpack_dc8afb13-448b-49d9-a042-5a163a97de8f.jpg?v=1426709346,,false,,"100% organic canvas exterior with adjustable back straps, leather details, and brass hardware. Available in Navy Blue, Khaki, Moss Green, and Nutmeg",,,,,,,,,,,,,,,kg
hudderton-backpack,,,,,,,,Moss,,,,,'4138,1361,shopify,4,deny,manual,98.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/product_lifestyle-28.jpeg?v=1426709346,,,,,,,,,,,,,,,,,,,kg
hudderton-backpack,,,,,,,,Nutmeg,,,,,'4140,1361,shopify,3,deny,manual,98.00,,true,true,,,,,,,,,,,,,,,,,,,,,kg
hudderton-backpack,,,,,,,,Navy Blue,,,,,'4139,1361,shopify,0,deny,manual,98.00,,true,true,,,,,,,,,,,,,,,,,,,,,kg
